Round,Date,Home,Away Team,Crowd,ResultH,ResultA,Goals
18,7/18/2023,GWS,Sydney,2374,72,98,"L. Franklin 4
T. Papley 4"
19,7/23/2023,Port Adelaide,Collingwood,,97,69,C. Dixon 4
19,7/24/2023,Carlton,North Melbourne,,77,116,N. Larkey 7
19,7/24/2023,West Coast,St Kilda,43657,94,86,M. King 6
19,7/24/2023,Brisbane,Gold Coast,16660,120,71,L. McCarthy 4
19,7/24/2023,Melbourne,Western Bulldogs,,65,85,-
19,7/24/2023,Adelaide,Hawthorn,,102,83,T. Walker 4
19,7/25/2023,Sydney,Fremantle,2875,98,58,I. Heeney 5
19,7/25/2023,Geelong,Richmond,,95,57,"T. Hawkins 4
E. Ratugolea 4"
19,7/25/2023,Essendon,GWS,2681,53,66,J. Hogan 2
20,7/30/2023,St Kilda,Carlton,,81,112,H. McKay 5
20,7/31/2023,Western Bulldogs,Adelaide,,105,56,-
20,7/31/2023,North Melbourne,Geelong,8083,42,62,"G. Rohan 2
C. Guthrie 2
N. Larkey 2"
20,7/31/2023,Collingwood,West Coast,,90,45,-
20,8/1/2023,Gold Coast,Melbourne,,30,128,"B. Brown 4
L. Jackson 4"
20,8/1/2023,Hawthorn,Brisbane,5381,92,80,D. McStay 4
20,8/1/2023,Fremantle,Richmond,24979,55,51,M. Taberner 3
20,8/1/2023,Essendon,Sydney,,102,109,T. Papley 4
20,8/1/2023,GWS,Port Adelaide,,73,100,C. Dixon 4
21,8/6/2023,Geelong,GWS,,65,84,T. Greene 4
21,8/7/2023,Carlton,Gold Coast,,57,76,"J. Honey 2
J. Townsend 2
T. Miller 2"
21,8/7/2023,Richmond,North Melbourne,,89,56,C. Zurhaar 4
21,8/7/2023,Adelaide,Port Adelaide,14736,51,55,"N. McHenry 2
Z. Butters 2"
21,8/7/2023,St Kilda,Sydney,,93,64,J. Higgins 4
21,8/8/2023,Hawthorn,Collingwood,,97,78,"J. Ginnivan 3
J. Koschitzke 3"
21,8/8/2023,Fremantle,Brisbane,29589,54,118,J. Daniher 4
21,8/8/2023,Western Bulldogs,Essendon,,84,97,P. Wright 7
21,8/9/2023,West Coast,Melbourne,31584,63,72,B. Brown 3
22,8/13/2023,GWS,Richmond,,106,67,T. Taranto 4
22,8/14/2023,Hawthorn,Western Bulldogs,7822,64,37,"C. Weightman 2
J. Koschitzke 2"
22,8/14/2023,Port Adelaide,Carlton,13943,140,45,C. Dixon 4
22,8/14/2023,Geelong,St Kilda,,85,71,J. Cameron 4
22,8/14/2023,Brisbane,Collingwood,15146,142,57,C. Cameron 6
22,8/14/2023,North Melbourne,Sydney,,77,91,"C. Zurhaar 3
W. Hayward 3"
22,8/15/2023,Melbourne,Adelaide,,104,63,B. Fritsch 7
22,8/15/2023,Fremantle,West Coast,51692,79,64,"M. Taberner 3
J. Kennedy 3
L. Ryan 3"
22,8/15/2023,Gold Coast,Essendon,,30,98,J. Stringer 5
23,8/20/2023,Western Bulldogs,Port Adelaide,,64,66,-
23,8/21/2023,Richmond,Hawthorn,,83,83,"T. Brockman 3
J. Riewoldt 3
T. Lynch 3"
23,8/21/2023,Sydney,Gold Coast,,136,49,L. Franklin 6
23,8/21/2023,Brisbane,West Coast,21845,125,87,J. Daniher 4
23,8/21/2023,Geelong,Melbourne,,77,81,T. Hawkins 4
23,8/21/2023,Carlton,GWS,,75,89,E. Curnow 4
23,8/22/2023,St Kilda,Fremantle,3082,107,49,C. Sharman 4
23,8/22/2023,Essendon,Collingwood,,102,64,"J. Elliott 4
P. Wright 4
A. Waterman 4"
23,8/22/2023,Adelaide,North Melbourne,13103,98,54,"S. McAdam 3
N. Larkey 3"
